Date/Time,Year,Month,Day,Data Quality,Max Temp (¡ãC),Max Temp Flag,Min Temp (¡ãC),Min Temp Flag,Mean Temp (¡ãC),Mean Temp Flag,Heat Deg Days (¡ãC),Heat Deg Days Flag,Cool Deg Days (¡ãC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Ê±¼ä,,,,,,,,,,,,,,,,,,,,,,,,,,
1987/5/23,1987,5,23,,19,,5.5,,12.3,,5.7,,0,,0,,0,,0,,0,,,,,
1987/5/24,1987,5,24,,19,,6.5,,12.8,,5.2,,0,,0,,0,,0,,0,,,,,
1987/5/25,1987,5,25,,17,,8.5,,12.8,,5.2,,0,,0,,0,,0,,0,,,,,
1987/5/26,1987,5,26,,16,,9,,12.5,,5.5,,0,,0,,0,,0,,0,,,,,
1987/5/27,1987,5,27,,15,,10.5,,12.8,,5.2,,0,,3.8,,0,,3.8,,0,,,,,
1987/5/28,1987,5,28,,15.5,,10.5,,13,,5,,0,,0,T,0,,0,T,0,,,,,
1987/5/29,1987,5,29,,16,,10,,13,,5,,0,,27,,0,,27,,0,,,,,
1987/5/30,1987,5,30,,16,,10,,13,,5,,0,,12.6,,0,,12.6,,0,,,,,
1987/5/31,1987,5,31,,16,,9.5,,12.8,,5.2,,0,,0,,0,,0,,0,,,,,
1987/6/1,1987,6,1,,16,,9.5,,12.8,,5.2,,0,,0,,0,,0,,0,,,,,
1987/6/2,1987,6,2,,19.5,,4.5,,12,,6,,0,,0,,0,,0,,0,,,,,
1987/6/3,1987,6,3,,25,,8,,16.5,,1.5,,0,,0,,0,,0,,0,,,,,
1987/6/4,1987,6,4,,24.5,,11,,17.8,,0.2,,0,,0,,0,,0,,0,,,,,
1987/6/5,1987,6,5,,18.5,,12.5,,15.5,,2.5,,0,,0,,0,,0,,0,,,,,
1987/6/6,1987,6,6,,19.5,,11,,15.3,,2.7,,0,,0,,0,,0,,0,,,,,
1987/6/7,1987,6,7,,23.5,,8.5,,16,,2,,0,,0,,0,,0,,0,,,,,
1987/6/8,1987,6,8,,15,,9.5,,12.3,,5.7,,0,,0.7,,0,,0.7,,0,,,,,
1987/6/9,1987,6,9,,17,,7.5,,12.3,,5.7,,0,,0,,0,,0,,0,,,,,
1987/6/10,1987,6,10,,15.5,,10,,12.8,,5.2,,0,,0,,0,,0,,0,,,,,
1987/6/11,1987,6,11,,21,,12,,16.5,,1.5,,0,,0.8,,0,,0.8,,0,,,,,
1987/6/12,1987,6,12,,21,,13,,17,,1,,0,,0,,0,,0,,0,,,,,
1987/6/13,1987,6,13,,22,,14,,18,,0,,0,,0,,0,,0,,0,,,,,
1987/6/14,1987,6,14,,21,,9,,15,,3,,0,,0,,0,,0,,0,,,,,
1987/6/15,1987,6,15,,17,,10.5,,13.8,,4.2,,0,,0,,0,,0,,0,,,,,
1987/6/16,1987,6,16,,17.5,,7.5,,12.5,,5.5,,0,,0,,0,,0,,0,,,,,
1987/6/17,1987,6,17,,19.5,,8,,13.8,,4.2,,0,,0,,0,,0,,0,,,,,
1987/6/18,1987,6,18,,20,,7,,13.5,,4.5,,0,,0,,0,,0,,0,,,,,
1987/6/19,1987,6,19,,20.5,,9,,14.8,,3.2,,0,,0,,0,,0,,0,,,,,
1987/6/20,1987,6,20,,16,,10,,13,,5,,0,,6.6,,0,,6.6,,0,,,,,
1987/6/21,1987,6,21,,17,,11,,14,,4,,0,,2.4,,0,,2.4,,0,,,,,
1987/6/22,1987,6,22,,18,,10.5,,14.3,,3.7,,0,,0,,0,,0,,0,,,,,
1987/6/23,1987,6,23,,19,,7,,13,,5,,0,,0,,0,,0,,0,,,,,
1987/6/24,1987,6,24,,22,,7.5,,14.8,,3.2,,0,,0,,0,,0,,0,,,,,
1987/6/25,1987,6,25,,26,,10.5,,18.3,,0,,0.3,,0,,0,,0,,0,,,,,
1987/6/26,1987,6,26,,24,,11,,17.5,,0.5,,0,,0,,0,,0,,0,,,,,
1987/6/27,1987,6,27,,22.5,,12.5,,17.5,,0.5,,0,,0,,0,,0,,0,,,,,
1987/6/28,1987,6,28,,25,,12,,18.5,,0,,0.5,,0,,0,,0,,0,,,,,
1987/6/29,1987,6,29,,28.5,,13,,20.8,,0,,2.8,,0,,0,,0,,0,,,,,
1987/6/30,1987,6,30,,27,,14.5,,20.8,,0,,2.8,,0,,0,,0,,0,,,,,
1987/7/1,1987,7,1,,21,,14,,17.5,,0.5,,0,,0,,0,,0,,0,,,,,
1987/7/2,1987,7,2,,20,,13,,16.5,,1.5,,0,,0,,0,,0,,0,,,,,
1987/7/3,1987,7,3,,20.5,,15,,17.8,,0.2,,0,,0,,0,,0,,0,,,,,
1987/7/4,1987,7,4,,16.5,,13,,14.8,,3.2,,0,,14.3,,0,,14.3,,0,,,,,
1987/7/5,1987,7,5,,14.5,,12,,13.3,,4.7,,0,,8,,0,,8,,0,,,,,
1987/7/6,1987,7,6,,18.5,,10.5,,14.5,,3.5,,0,,0.7,,0,,0.7,,0,,,,,
1987/7/7,1987,7,7,,19,,12.5,,15.8,,2.2,,0,,2.4,,0,,2.4,,0,,,,,
1987/7/8,1987,7,8,,18,,11,,14.5,,3.5,,0,,2.2,,0,,2.2,,0,,,,,
1987/7/9,1987,7,9,,17.5,,10.5,,14,,4,,0,,0,,0,,0,,0,,,,,
1987/7/10,1987,7,10,,21,,8.5,,14.8,,3.2,,0,,0,,0,,0,,0,,,,,
1987/7/11,1987,7,11,,25,,11.5,,18.3,,0,,0.3,,0,,0,,0,,0,,,,,
1987/7/12,1987,7,12,,26,,11,,18.5,,0,,0.5,,0,,0,,0,,0,,,,,
1987/7/13,1987,7,13,,25,,10.5,,17.8,,0.2,,0,,0,,0,,0,,0,,,,,
1987/7/14,1987,7,14,,24,,11.5,,17.8,,0.2,,0,,0,,0,,0,,0,,,,,
1987/7/15,1987,7,15,,20,,11.5,,15.8,,2.2,,0,,0,,0,,0,,0,,,,,
1987/7/16,1987,7,16,,22,,11.5,,16.8,,1.2,,0,,0,,0,,0,,0,,,,,
1987/7/17,1987,7,17,,27,,10,,18.5,,0,,0.5,,0,T,0,,0,T,0,,,,,
1987/7/18,1987,7,18,,24.5,,15.5,,20,,0,,2,,0.8,,0,,0.8,,0,,,,,
1987/7/19,1987,7,19,,19,,15,,17,,1,,0,,0,,0,,0,,0,,,,,
1987/7/20,1987,7,20,,24.5,,11.5,,18,,0,,0,,0,,0,,0,,0,,,,,
1987/7/21,1987,7,21,,27.5,,12.5,,20,,0,,2,,0,,0,,0,,0,,,,,
1987/7/22,1987,7,22,,19.5,,14,,16.8,,1.2,,0,,0,,0,,0,,0,,,,,
1987/7/23,1987,7,23,,22.5,,13,,17.8,,0.2,,0,,0,,0,,0,,0,,,,,
1987/7/24,1987,7,24,,22,,12.5,,17.3,,0.7,,0,,0,T,0,,0,T,0,,,,,
1987/7/25,1987,7,25,,19.5,,13,,16.3,,1.7,,0,,0.2,,0,,0.2,,0,,,,,
1987/7/26,1987,7,26,,22,,13,,17.5,,0.5,,0,,2.8,,0,,2.8,,0,,,,,
1987/7/27,1987,7,27,,21.5,,12,,16.8,,1.2,,0,,0,,0,,0,,0,,,,,
1987/7/28,1987,7,28,,22.5,,9,,15.8,,2.2,,0,,0,,0,,0,,0,,,,,
1987/7/29,1987,7,29,,22,,10.5,,16.3,,1.7,,0,,0,,0,,0,,0,,,,,
1987/7/30,1987,7,30,,21,,10.5,,15.8,,2.2,,0,,3.2,,0,,3.2,,0,,,,,
1987/7/31,1987,7,31,,20.5,,12,,16.3,,1.7,,0,,0,,0,,0,,0,,,,,
1987/8/1,1987,8,1,,,,,,,,,,,,,,,,,,,,,,,
1987/8/2,1987,8,2,,,,,,,,,,,,,,,,,,,,,,,
1987/8/3,1987,8,3,,,,,,,,,,,,,,,,,,,,,,,
1987/8/4,1987,8,4,,,,,,,,,,,,,,,,,,,,,,,
1987/8/5,1987,8,5,,,,,,,,,,,,,,,,,,,,,,,
1987/8/6,1987,8,6,,,,,,,,,,,,,,,,,,,,,,,
1987/8/7,1987,8,7,,,,,,,,,,,,,,,,,,,,,,,
1987/8/8,1987,8,8,,,,,,,,,,,,,,,,,,,,,,,
1987/8/9,1987,8,9,,,,,,,,,,,,,,,,,,,,,,,
1987/8/10,1987,8,10,,,,,,,,,,,,,,,,,,,,,,,
1987/8/11,1987,8,11,,,,,,,,,,,,,,,,,,,,,,,
1987/8/12,1987,8,12,,,,,,,,,,,,,,,,,,,,,,,
1987/8/13,1987,8,13,,,,,,,,,,,,,,,,,,,,,,,
1987/8/14,1987,8,14,,,,,,,,,,,,,,,,,,,,,,,
1987/8/15,1987,8,15,,,,,,,,,,,,,,,,,,,,,,,
1987/8/16,1987,8,16,,,,,,,,,,,,,,,,,,,,,,,
1987/8/17,1987,8,17,,,,,,,,,,,,,,,,,,,,,,,
1987/8/18,1987,8,18,,,,,,,,,,,,,,,,,,,,,,,
1987/8/19,1987,8,19,,,,,,,,,,,,,,,,,,,,,,,
1987/8/20,1987,8,20,,,,,,,,,,,,,,,,,,,,,,,
1987/8/21,1987,8,21,,,,,,,,,,,,,,,,,,,,,,,
1987/8/22,1987,8,22,,,,,,,,,,,,,,,,,,,,,,,
1987/8/23,1987,8,23,,,,,,,,,,,,,,,,,,,,,,,
1987/8/24,1987,8,24,,,,,,,,,,,,,,,,,,,,,,,
1987/8/25,1987,8,25,,,,,,,,,,,,,,,,,,,,,,,
1987/8/26,1987,8,26,,,,,,,,,,,,,,,,,,,,,,,
1987/8/27,1987,8,27,,,,,,,,,,,,,,,,,,,,,,,
1987/8/28,1987,8,28,,,,,,,,,,,,,,,,,,,,,,,
1987/8/29,1987,8,29,,,,,,,,,,,,,,,,,,,,,,,
1987/8/30,1987,8,30,,,,,,,,,,,,,,,,,,,,,,,
1987/8/31,1987,8,31,,,,,,,,,,,,,,,,,,,,,,,
1987/9/1,1987,9,1,,,,,,,,,,,,,,,,,,,,,,,
1987/9/2,1987,9,2,,,,,,,,,,,,,,,,,,,,,,,
1987/9/3,1987,9,3,,,,,,,,,,,,,,,,,,,,,,,
1987/9/4,1987,9,4,,,,,,,,,,,,,,,,,,,,,,,
1987/9/5,1987,9,5,,,,,,,,,,,,,,,,,,,,,,,
1987/9/6,1987,9,6,,,,,,,,,,,,,,,,,,,,,,,
