"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"PETAWAWA AWOS 2","45.950","-77.317","ON","19.2","8",NA,"31.0","8","7.1","8","",,NA,"27.5","1",NA,"","11","",,NA,"10.2","36.7","6106396"
"ST. ALBERT","45.287","-75.064","ON","19.5","18","0.4","30.0","18","7.0","18","0.0","18",NA,"29.2","18",NA,"","6","","",NA,"2.9","22.4","6107276"
"PETAWAWA HOFFMAN","45.883","-77.250","ON","20.0","0",NA,"32.5","0","8.5","0","0.0","0",NA,"28.2","0",NA,"0.0","8","","",NA,"6.1","68.6","610FC98"
"BALDWIN","44.267","-79.319","ON","18.8","7",NA,"30.0","7","5.5","7","0.0","7",NA,"29.6","7",NA,"0.0","4","","",NA,"14.7","34.7","6110480"
"BARRIE LANDFILL","44.385","-79.736","ON","19.1","16",NA,"30.0","12","8.0","11","0.0","12",NA,"58.2","12",NA,"","9","","",NA,"3.2","19.0","6110556"
"BEATRICE CLIMATE","45.140","-79.403","ON","16.5","1",NA,"27.9","1","4.4","1","",,NA,"75.3","1",NA,"","11","",,NA,"53.6","7.4","6110607"
"COLDWATER WARMINSTER","44.631","-79.539","ON","19.2","0",NA,"29.0","0","9.0","0","0.0","0",NA,"117.4","0",NA,"0.0","10","","",NA,"11.3","47.3","6111769"
"COLLINGWOOD","44.500","-80.217","ON","19.6","0",NA,"31.8","0","9.7","0","",,NA,"",,NA,"","","",,NA,"7.3","56.7","6111792"
"LAGOON CITY","44.547","-79.217","ON","19.2","0",NA,"28.4","0","10.0","0","",,NA,"",,NA,"","","",,NA,"10.5","47.1","6114295"
"MARKDALE","44.269","-80.712","ON","18.2","4",NA,"29.0","4","1.5","4","0.0","4",NA,"91.4","4",NA,"","11","","",NA,"22.8","27.9","6114979"
"MUSKOKA","44.975","-79.303","ON","17.5","0",NA,"29.4","0","6.0","0","",,NA,"84.4","0",NA,"","11","",,NA,"28.6","14.6","6115529"
"ORILLIA BRAIN","44.603","-79.439","ON","19.2","2",NA,"29.5","2","10.0","2","0.0","2",NA,"84.2","2",NA,"0.0","7","","",NA,"8.7","44.4","6115811"
"PARRY SOUND CCG","45.344","-80.044","ON","19.3","0",NA,"28.3","0","10.2","0","",,NA,"",,NA,"","","",,NA,"9.2","49.5","6116257"
"SHANTY BAY","44.399","-79.633","ON","19.3","0","0.1","29.5","0","8.5","0","0.0","0",NA,"54.0","0","63.0","0.0","7","","",NA,"11.3","52.8","6117684"
"BARRIE-ORO","44.483","-79.550","ON","17.7","0",NA,"28.1","0","8.2","0","",,NA,"",,NA,"","","",,NA,"26.3","16.3","6117700"
"SPRUCEDALE","45.425","-79.488","ON","",,NA,"",,"",,"0.0","8",NA,"51.2","8",NA,"","7","","",NA,"","","6117981"
"THORNBURY 3","44.551","-80.468","ON","",,NA,"",,"",,"0.0","0",NA,"38.9","0",NA,"0.0","10","","",NA,"","","6118240"
"UDORA","44.263","-79.161","ON","19.1","0","-0.2","30.0","0","7.0","0","0.0","0",NA,"50.6","0","68.0","0.0","6","","",NA,"12.1","45.0","6119055"
"WIARTON A","44.744","-81.109","ON","17.5","0",NA,"27.9","0","6.2","0","",,NA,"",,NA,"","","",,NA,"34.0","19.8","6119498"
"WIARTON A","44.744","-81.109","ON","17.5","0",NA,"27.9","0","6.2","0","0.0","1",NA,"70.4","0",NA,"","7","",,NA,"34.0","19.8","6119499"
"WESTERN ISLAND (AUT)","45.033","-80.367","ON","19.9","1",NA,"26.0","1","14.5","1","",,NA,"",,NA,"","","",,NA,"4.5","60.7","6119M51"
"BORDEN AWOS","44.272","-79.912","ON","18.4","1",NA,"31.9","1","4.8","1","",,NA,"19.5","1",NA,"","4","",,NA,"26.3","37.4","611B002"
"EGBERT CS","44.233","-79.783","ON","18.7","0",NA,"30.5","0","6.8","0","",,NA,"38.4","0",NA,"","6","",,NA,"20.9","43.9","611E001"
"COVE ISLAND (AUT)","45.333","-81.733","ON","18.8","1",NA,"26.6","1","13.3","1","",,NA,"",,NA,"","","",,NA,"9.7","32.7","61219J2"
"GODERICH","43.767","-81.717","ON","19.2","0",NA,"28.7","0","8.1","0","",,NA,"22.3","0",NA,"","6","",,NA,"15.0","51.3","6122847"
"KINCARDINE","44.173","-81.623","ON","20.8","23",NA,"29.0","23","13.0","23","0.0","23",NA,"8.6","23",NA,"","2","","",NA,"0.0","22.5","6124127"
"SARNIA","42.999","-82.309","ON","20.9","0",NA,"30.1","0","10.8","0","",,NA,"0.0","1",NA,"","0","",,NA,"4.6","93.6","6127510"
"SARNIA CLIMATE","43.000","-82.300","ON","20.7","2",NA,"30.4","2","10.8","2","",,NA,"65.1","2",NA,"","7","",,NA,"5.3","83.2","6127519"
"TOBERMORY RCS","45.233","-81.633","ON","17.9","0",NA,"25.5","0","9.5","0","",,NA,"26.8","0",NA,"","4","",,NA,"19.1","17.2","6128330"
"WROXETER","43.863","-81.152","ON","",,NA,"",,"",,"0.0","0",NA,"49.4","0",NA,"0.0","9","","",NA,"","","6129660"
"AMHERSTBURG","42.103","-83.094","ON","22.9","2","0.6","32.0","2","12.0","2","0.0","2",NA,"74.2","2",NA,"0.0","8","","",NA,"0.2","143.7","6130257"
"CHATHAM KENT","42.306","-82.083","ON","20.3","0",NA,"28.3","0","9.4","0","",,NA,"57.9","2",NA,"","6","",,NA,"7.3","79.1","6131414"
"DELHI CS","42.867","-80.550","ON","19.2","1",NA,"28.8","1","6.7","1","",,NA,"115.6","1",NA,"","7","",,NA,"16.8","53.1","6131983"
"FORT ERIE","42.883","-78.967","ON","21.4","15","0.8","29.5","15","10.5","15","0.0","15",NA,"41.4","15",NA,"0.0","7","","",NA,"1.9","56.4","6132470"
"GRIMSBY MOUNTAIN","43.184","-79.558","ON","21.4","0",NA,"31.0","0","12.0","0","0.0","0",NA,"105.2","0",NA,"0.0","7","","",NA,"1.2","107.1","6133055"
"HARROW CDA AUTO","42.033","-82.900","ON","21.3","0",NA,"30.0","0","9.9","0","",,NA,"48.3","0",NA,"","6","",,NA,"3.6","106.1","6133362"
"KINGSVILLE MOE","42.043","-82.674","ON","22.7","11","1.2","29.0","11","14.0","11","0.0","11",NA,"22.0","11",NA,"0.0","5","","",NA,"0.0","94.5","6134190"
"LONG POINT (AUT)","42.533","-80.050","ON","21.6","1",NA,"27.6","1","15.8","1","",,NA,"",,NA,"","","",,NA,"0.0","108.5","6134F10"
"NEW GLASGOW","42.514","-81.636","ON","20.6","18","0.3","28.0","18","10.0","18","0.0","18",NA,"11.0","18",NA,"0.0","5","","",NA,"1.0","34.5","6135583"
"PORT COLBORNE","42.883","-79.250","ON","21.0","1","-0.3","30.0","1","10.5","1","0.0","1",NA,"86.9","1",NA,"0.0","9","","",NA,"2.0","92.2","6136606"
"PORT WELLER (AUT)","43.250","-79.217","ON","21.6","0",NA,"29.5","0","13.7","0","",,NA,"",,NA,"","","",,NA,"0.9","112.6","6136699"
"RIDGETOWN RCS","42.450","-81.883","ON","20.0","0",NA,"28.5","0","8.1","0","",,NA,"103.4","0",NA,"","8","",,NA,"11.0","73.3","6137154"
"ST CATHARINES A","43.192","-79.171","ON","20.9","0",NA,"30.8","0","10.3","0","",,NA,"",,NA,"","","",,NA,"3.0","94.3","6137304"
"ST THOMAS WPCP","42.768","-81.205","ON","19.4","11","-0.9","29.5","8","7.0","8","0.0","10",NA,"101.0","10",NA,"0.0","9","","",NA,"6.4","35.0","6137362"
"TILLSONBURG WWTP","42.855","-80.722","ON","",,NA,"",,"",,"0.0","6",NA,"145.3","6",NA,"","10","","",NA,"","","6138270"
"VINELAND STATION RCS","43.183","-79.400","ON","21.3","3",NA,"30.3","3","12.2","3","",,NA,"95.4","3",NA,"","5","",,NA,"2.2","93.8","6139148"
"WELLAND-PELHAM","42.967","-79.333","ON","20.3","0",NA,"28.8","0","9.9","0","",,NA,"59.9","0",NA,"","8","",,NA,"4.6","76.0","6139449"
"WINDSOR RIVERSIDE","42.333","-82.933","ON","23.2","0",NA,"32.0","0","13.5","0","0.0","0",NA,"93.0","0",NA,"0.0","8","","",NA,"0.0","161.0","6139520"
"WINDSOR A","42.276","-82.955","ON","22.0","1",NA,"31.0","1","12.9","1","",,NA,"16.9","3",NA,"","4","",,NA,"0.4","121.7","6139530"
"PORT COLBORNE (AUT)","42.867","-79.250","ON","21.0","0",NA,"27.6","0","13.5","0","",,NA,"",,NA,"","","",,NA,"1.6","94.3","613F606"
"ERIEAU (AUT)","42.250","-81.900","ON","22.2","0",NA,"27.8","0","14.4","0","",,NA,"",,NA,"","","",,NA,"0.3","129.6","613KLLM"
"POINT PELEE CS","41.949","-82.519","ON","21.6","0",NA,"30.0","0","11.3","0","",,NA,"45.2","0",NA,"","6","",,NA,"2.1","114.9","613P001"
"BRANTFORD AIRPORT","43.138","-80.331","ON","20.2","0",NA,"30.7","0","7.9","0","",,NA,"",,NA,"","","",,NA,"7.9","76.8","6140942"
"ELORA RCS","43.650","-80.417","ON","18.2","1",NA,"28.5","1","6.5","1","",,NA,"68.2","1",NA,"","5","",,NA,"25.4","30.5","6142286"
"FERGUS SHAND DAM","43.735","-80.330","ON","19.1","0","0.0","31.5","0","9.0","0","0.0","0",NA,"127.2","0","132.0","0.0","10","","",NA,"12.8","46.0","6142400"
"FERGUS MOE","43.702","-80.379","ON","19.1","0",NA,"29.0","0","8.0","0","0.0","0",NA,"115.3","0",NA,"0.0","10","","",NA,"15.3","47.9","6142402"
"GUELPH TURFGRASS","43.550","-80.217","ON","18.5","0",NA,"32.5","0","5.7","0","",,NA,"51.2","0",NA,"","8","",,NA,"23.8","40.8","6143089"
"KITCHENER/WATERLOO","43.461","-80.379","ON","19.0","0",NA,"29.7","0","5.7","0","",,NA,"59.1","0",NA,"","7","",,NA,"16.9","48.3","6144239"
"LONDON A","43.033","-81.151","ON","19.8","0",NA,"30.6","0","8.3","0","",,NA,"",,NA,"","","",,NA,"11.1","66.5","6144473"
"LONDON CS","43.033","-81.150","ON","20.1","1",NA,"28.9","1","8.5","1","",,NA,"118.6","1",NA,"","7","",,NA,"10.5","73.9","6144478"
"MOUNT FOREST (AUT)","43.983","-80.750","ON","18.3","0",NA,"29.0","0","6.4","0","",,NA,"",,NA,"","","",,NA,"25.1","33.3","6145504"
"ROSEVILLE","43.354","-80.474","ON","19.2","0","-0.3","28.0","0","9.0","0","0.0","0",NA,"101.7","0","121.0","0.0","12","","",NA,"11.5","47.6","6147188"
"STRATHROY-MULLIFARRY","42.981","-81.643","ON","20.1","0",NA,"29.5","0","8.0","0","0.0","0",NA,"151.6","0",NA,"0.0","10","","",NA,"8.9","74.5","6148122"
"WOODSTOCK","43.136","-80.771","ON","21.5","25","1.7","29.0","25","11.0","25","0.0","25",NA,"9.1","25",NA,"","1","","",NA,"0.0","20.8","6149625"
"BELLEVILLE","44.151","-77.395","ON","21.3","3","0.5","30.0","3","11.5","3","0.0","3",NA,"52.4","3",NA,"0.0","10","","",NA,"0.5","94.2","6150689"
"BURLINGTON PIERS (AUT)","43.300","-79.800","ON","21.3","0",NA,"29.5","0","14.1","0","",,NA,"",,NA,"","","",,NA,"1.4","102.7","6151061"
"CENTREVILLE","44.403","-76.908","ON","20.3","1","0.7","32.0","1","8.0","1","0.0","1",NA,"47.2","1",NA,"0.0","9","","",NA,"1.3","71.5","6151309"
"COBOURG (AUT)","43.950","-78.167","ON","19.3","0",NA,"25.9","0","10.4","0","",,NA,"",,NA,"","","",,NA,"7.5","47.0","6151684"
"COBOURG STP","43.967","-78.183","ON","20.3","16","0.9","29.0","16","11.0","16","0.0","16",NA,"42.7","16",NA,"","5","","",NA,"0.5","35.3","6151689"
"GEORGETOWN WWTP","43.640","-79.879","ON","20.0","12","1.0","30.0","12","10.0","12","0.0","12",NA,"48.8","12",NA,"","7","","",NA,"1.2","38.5","6152695"
"HAMILTON A","43.174","-79.935","ON","20.0","1",NA,"29.0","1","9.9","1","0.0","1",NA,"100.4","1",NA,"","8","",,NA,"7.6","66.3","6153193"
